label,longitude,latitude,TypeCode,Priority,APC_Diameter,APC_Depth,Comment,elevation,APC_Diameter_numeric,APC_Depth_numeric,type_score,priority_score,morphology_score,themis_lon_tile,themis_lat_tile,themis_tile,themis_quantitative_product_name
CC0221,239.6554,-11.51587,sky,0,,,skylight off Arsia south flank,11526.07097894334,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0253,248.4829,3.75879,sky,0,,,Famous pit-floor cave on Pavonis,5432.76359531329,,,5,5,5.0,240E,00N,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp
CC0256,250.5591,6.30237,sky,0,,,Lavatube impact NW,4617.486193366982,,,5,5,5.0,240E,00N,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp
CC0257,250.5629,6.29941,sky,0,,,Lavatube impact SE,4620.675722883154,,,5,5,5.0,240E,00N,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp
CC0272,348.9619,34.21344,sky,0,,,Tube?,-4685.077564118701,,,5,5,5.0,300E,30N,30N300E,THEMIS Thermal Inertia Mosaic Quantitative 30N300E 100mpp
CC0274,242.1563,-2.37024,sky,0,,,Line of trench pits,7043.448118785054,,,5,5,5.0,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0275,242.1466,-2.33789,sky,0,,,Trench pit,7033.465931195207,,,5,5,5.0,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0276,242.2905,-2.48511,sky,0,,,Trench pit,7085.194926787617,,,5,5,5.0,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0304,236.3029,-1.41553,sky,0,,,Skylight,4256.461743221204,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0305,236.4304,-1.38672,sky,0,,,Skylight,4291.38103348613,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0306,236.4329,-1.38782,sky,0,,,Skylight,4291.826795984031,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0307,236.4423,-1.39038,sky,0,,,Skylight,4293.121107918255,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0308,236.4658,-1.42175,sky,0,,,Skylight,4308.4398638010425,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0348,236.3306,0.59424,sky,0,,,Skylight,4236.456554093951,,,5,5,5.0,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0480,241.8828,-2.27867,sky,0,,,Small fracture skylight,6995.788436311002,,,5,5,5.0,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0481,241.8877,-2.27881,sky,0,,,Large fracture skylight,6995.869033556799,,,5,5,5.0,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0482,241.9834,-2.27173,sky,0,,,Largest fracture skylight,7006.883214338085,,,5,5,5.0,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0729,161.5894,7.21852,sky,0,,,possible bridge over channel,-2658.6921581200386,,,5,5,5.0,120E,00N,00N120E,THEMIS Thermal Inertia Mosaic Quantitative 00N120E 100mpp
CC0774,236.1148,-3.14771,sky,0,,,tube skylight,4560.08645535799,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0775,236.0798,-3.08081,sky,0,,,tube skylight,4547.442085513359,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0776,236.0749,-3.0733,sky,0,,,tube skylight,4545.256094899753,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0777,236.0728,-3.0528,sky,0,,,tube skylight,4540.051837367016,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0778,236.0729,-3.04926,sky,0,,,tube skylight,4538.574150329942,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0779,236.0719,-3.04401,sky,0,,,tube skylight,4535.956203274758,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0780,236.0627,-3.00909,sky,0,,,tube skylight,4509.380278188093,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0781,236.0446,-2.99792,sky,0,,,tube skylight,4499.525345783648,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0782,236.04,-2.99756,sky,0,,,tube skylight,4498.481983681395,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0783,236.0365,-2.99695,sky,0,,,tube skylight,4497.57799338245,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0784,236.0146,-2.93555,sky,0,,,tube skylight,4478.883806619745,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0785,235.9832,-2.91675,sky,0,,,tube skylight,4473.990267066917,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0786,235.9755,-2.91278,sky,0,,,tube skylight,4469.38450073459,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0787,235.9736,-2.89459,sky,0,,,tube skylight,4462.514814668724,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0788,235.9763,-2.88922,sky,0,,,tube skylight,4462.095413208289,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0789,235.9979,-2.85663,sky,0,,,tube skylight,4451.851312428005,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0790,235.968,-2.86755,sky,0,,,tube skylight,4453.576426543431,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0791,235.9623,-2.85175,sky,0,,,tube skylight,4446.215376995204,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0792,235.9459,-2.83087,sky,0,,,tube skylight,4438.65555259696,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0804,239.5204,-11.74243,sky,0,,,small 30m skylight in old pit chain,11381.32242850867,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0805,239.0983,-11.34962,sky,0,,,small skylight,11986.072370954598,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0806,239.1036,-11.3175,sky,0,,,small skylight,12036.115746787094,,,5,5,5.0,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0899,232.8965,0.37598,sky,0,,,Cave / natural bridge near Biblis Patera,2830.7098199079323,,,5,5,5.0,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0900,232.8984,0.37378,sky,0,,,Cave / natural bridge near Biblis Patera,2832.284263687021,,,5,5,5.0,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0211,235.8737,-3.81203,sky,1,,,Tube skylight at base of NW Arsia,4639.5601962456485,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0214,238.7192,-3.53171,sky,1,,,good 20m tube skylight,6039.045826455621,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0220,233.086,-0.09179,sky,1,,,candidate tube skylight,3013.597984370952,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0222,239.065,-13.32391,sky,1,,,initial surface breach?,10217.570754534125,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0223,234.3142,-11.47247,sky,1,,,inflated flow skylight candidate --,6107.625429280364,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0224,236.9274,-4.07337,sky,1,,,Skylight pair (srp?) - Arsia off flank,5126.175533942026,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0225,236.9281,-4.07527,sky,1,,,Skylight pair (srp?) - Arsia off flank,5126.32389243622,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0228,236.2019,-3.25931,sky,1,,,Skylight,4615.827636222175,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0229,236.2041,-3.26335,sky,1,,,Skylight,4618.726648635888,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0233,236.213,-3.27304,sky,1,,,Skylight,4626.143787772223,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0236,236.2371,-3.2932,sky,1,,,Skylight,4637.594518539652,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0237,236.2495,-3.30621,sky,1,,,Skylight,4646.721274797004,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0238,236.2612,-3.30982,sky,1,,,Skylight,4651.07367167055,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0241,236.2839,-3.36976,sky,1,,,Skylight,4683.269238956417,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0242,236.2884,-3.37601,sky,1,,,Skylight,4688.848817899903,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0249,236.339,-3.49398,sky,1,,,Skylight,4738.836814890964,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0250,236.3663,-3.5139,sky,1,,,Skylight,4748.586335383874,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0254,243.448,17.93182,sky,1,,,Possible vent hole with attached tube or dike,2327.756061438456,,,5,4,4.6,240E,00N,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp
CC0255,240.8051,0.83864,sky,1,,,skylight as wide as channel in flood lavas,4968.892240453352,,,5,4,4.6,240E,00N,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp
CC0259,242.5594,7.67303,sky,1,,,Graben-edge 170x300m pit with strong overhang,3317.930091788716,,,5,4,4.6,240E,00N,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp
CC0265,248.8112,-3.67224,sky,1,,,Skylight in channel,6908.91712945055,,,5,4,4.6,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0270,248.0475,-8.22035,sky,1,,,Tube skylight pair,7073.250957500058,,,5,4,4.6,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0271,248.0475,-8.22235,sky,1,,,Tube skylight pair,7073.879486645192,,,5,4,4.6,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0273,248.6138,-2.17212,sky,1,,,hole in top of cone,6802.667967926399,,,5,4,4.6,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0277,249.978,-1.39307,sky,1,,,skylight,6153.23744885785,,,5,4,4.6,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0278,250.1003,-0.28812,sky,1,,,skylight,5873.214461556849,,,5,4,4.6,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0281,259.4139,3.17889,sky,1,,,Deep hole in channel,4509.503227245932,,,5,4,4.6,240E,00N,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp
CC0288,231.8906,-0.93933,sky,1,,,Lateral tube skylight,2749.512975703512,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0292,235.5515,0.7771,sky,1,,,Solid looking lava tube skylight,3921.1734401808953,,,5,4,4.6,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0299,236.1482,-1.46228,sky,1,,,Skylight,4203.025792670121,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0300,236.2094,-1.47205,sky,1,,,Skylight,4223.7916780913465,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0301,236.1982,-1.47437,sky,1,,,Skylight,4220.43828103926,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0302,236.2322,-1.47644,sky,1,,,Skylight,4233.6097915483415,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0303,236.245,-1.46997,sky,1,,,Skylight,4237.529370143804,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0323,236.7699,-0.46796,sky,1,,,skylight,4318.323512301442,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0324,236.741,-0.4765,sky,1,,,skylight,4312.961520276891,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0331,237.3424,-2.60449,sky,1,,,skylight,4951.6872265698585,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0344,235.9563,-1.45911,sky,1,,,skylight,4138.314176043674,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0345,235.9785,-1.46143,sky,1,,,skylight,4146.314552203746,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0346,236.0981,1.3894,sky,1,,,skylight,4272.04267317481,,,5,4,4.6,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0349,236.5813,-0.4447,sky,1,,,skylight,4296.904883486912,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0353,236.5744,-1.49963,sky,1,,,skylight,4365.557700917484,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0358,236.9183,-2.82141,sky,1,,,skylight,4769.593676441859,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0362,236.6997,-0.74756,sky,1,,,inflated flow skylight,4308.22017385591,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0368,234.6502,0.34631,sky,1,,,Small rimless pit,3554.439232236821,,,5,4,4.6,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0387,234.6398,0.97668,sky,1,,,skylight,3488.710786634146,,,5,4,4.6,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0389,234.7289,0.49,sky,1,,,skylight,3607.615823031552,,,5,4,4.6,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0390,234.7329,0.49048,sky,1,,,skylight,3608.748927907396,,,5,4,4.6,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0394,234.8965,-0.30908,sky,1,,,skylight,3740.3144684624376,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0403,235.1892,-3.13107,sky,1,,,skylight,4227.177953051297,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0407,235.4607,-3.27222,sky,1,,,skylight,4382.545413507402,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0409,235.3469,-3.20654,sky,1,,,skylight,4329.017474935015,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0414,234.2354,0.53979,sky,1,,,skylight,3379.619281718652,,,5,4,4.6,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0415,234.239,0.54199,sky,1,,,skylight,3381.8172171236943,,,5,4,4.6,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0420,234.4329,-0.24756,sky,1,,,skylight,3577.8056431674668,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0430,234.2665,-0.12085,sky,1,,,skylight,3506.193585574687,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0432,234.2064,-0.10571,sky,1,,,skylight,3476.835893965871,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0433,234.2047,-0.10559,sky,1,,,skylight,3476.3389653281256,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0434,234.202,-0.10547,sky,1,,,skylight,3475.516225929465,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0435,234.2015,-0.09424,sky,1,,,skylight,3474.01374530076,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0436,234.1965,-0.08777,sky,1,,,skylight,3470.616921312751,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0439,234.1831,-0.03943,sky,1,,,skylight,3441.378948978293,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
